build	wl	T	cache	kv	rep	wall_s	thpt_mops	w_avg_us	r_avg_us	w_p99_us	r_p99_us
hazard	workloada	4	off	512	1	0.124295	1.6091	6.797	1.954	15.782	13.131
hazard	workloada	4	off	512	2	0.124320	1.6088	6.790	1.939	15.405	13.173
hazard	workloada	4	off	512	3	0.124233	1.6099	6.790	1.948	15.152	13.164
hazard	workloada	4	off	512	4	0.124397	1.6077	6.787	1.936	15.149	13.226
hazard	workloada	4	off	512	5	0.124210	1.6102	6.794	1.946	17.960	13.150
w1	workloada	4	off	512	1	0.124495	1.6065	6.752	2.024	15.515	13.192
w1	workloada	4	off	512	2	0.124473	1.6068	6.742	2.020	15.680	13.177
w1	workloada	4	off	512	3	0.124540	1.6059	6.748	2.029	17.261	13.120
w1	workloada	4	off	512	4	0.124509	1.6063	6.735	2.017	17.516	13.101
w1	workloada	4	off	512	5	0.124458	1.6070	6.754	2.035	15.807	13.147
w3	workloada	4	off	512	1	0.125362	1.5954	6.754	2.026	15.198	13.236
w3	workloada	4	off	512	2	0.176301	1.1344	6.796	2.213	15.466	13.349
w3	workloada	4	off	512	3	0.189631	1.0547	6.781	2.249	15.871	13.536
w3	workloada	4	off	512	4	0.224046	0.8927	7.575	2.326	17.760	14.359
w3	workloada	4	off	512	5	FAIL	0	0	0	0	0
hazard	workloada	32	off	1024	1	0.019160	10.4384	11.101	4.678	71.115	20.295
hazard	workloada	32	off	1024	2	0.019781	10.1107	11.148	4.712	63.742	19.412
hazard	workloada	32	off	1024	3	0.018882	10.5915	11.111	4.664	61.387	19.532
hazard	workloada	32	off	1024	4	0.019961	10.0190	11.076	4.686	68.014	19.279
hazard	workloada	32	off	1024	5	0.019058	10.4943	11.115	4.688	76.061	20.742
w1	workloada	32	off	1024	1	0.019289	10.3686	11.054	4.641	75.349	20.045
w1	workloada	32	off	1024	2	0.019841	10.0796	11.066	4.815	66.503	20.816
w1	workloada	32	off	1024	3	0.019223	10.4037	11.180	4.833	56.295	21.190
w1	workloada	32	off	1024	4	0.019303	10.3605	10.900	4.621	70.577	19.413
w1	workloada	32	off	1024	5	0.019295	10.3654	11.055	4.700	65.262	19.676
w3	workloada	32	off	1024	1	0.019253	10.3880	11.125	4.772	66.916	20.328
w3	workloada	32	off	1024	2	0.019470	10.2717	10.967	4.637	68.852	19.844
w3	workloada	32	off	1024	3	0.019579	10.2145	11.004	4.761	75.238	20.035
w3	workloada	32	off	1024	4	0.019131	10.4537	11.033	4.658	72.117	20.218
w3	workloada	32	off	1024	5	0.019133	10.4526	11.044	4.712	92.155	19.556
