| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 12627 | 0.740 | 1.230 | 3.069 | 100.590 | 0.883 |
| W2 | 10280 | 0.132 | 0.163 | 0.175 | 9.024 | 0.128 |
| W3 | 10280 | 0.023 | 0.024 | 4.456 | 24.275 | 0.103 |
| W7 | 10280 | 0.038 | 0.041 | 0.070 | 7.358 | 0.043 |
| W8 | 10280 | 0.025 | 0.025 | 5.204 | 17.492 | 0.113 |
| W9 | 10280 | 0.018 | 0.020 | 0.027 | 7.640 | 0.021 |
| W10 | 10280 | 3.279 | 4.022 | 10.391 | 15.461 | 3.480 |
| W12 | 10279 | 0.472 | 0.534 | 4.922 | 831.293 | 0.638 |
| R1 | 4972 | 0.399 | 7.483 | 12.825 | 98.555 | 3.185 |
| R2hit | 377 | 0.127 | 0.409 | 1.034 | 4.739 | 0.206 |
| R2miss | 4289 | 1.110 | 1.874 | 5.057 | 10.316 | 1.184 |
| R3 | 500 | 9.559 | 11.599 | 14.609 | 16.232 | 9.804 |
| R4 | 68 | 1.120 | 1.699 | 1.997 | 1.997 | 1.220 |
| R6 | 949 | 0.495 | 0.873 | 1.958 | 6.660 | 0.458 |
| P5R_AK | 660 | 13.269 | 39.354 | 78.289 | 5028.277 | 26.512 |
| P5R_GH | 657 | 0.027 | 0.028 | 0.029 | 6.352 | 0.046 |
| P5R_GZ | 657 | 2.878 | 3.552 | 7.603 | 9.793 | 2.971 |
| P5R_PL | 668 | 0.725 | 0.760 | 14.866 | 14255.791 | 101.520 |
| P5R_VS | 661 | 0.775 | 3.428 | 4.103 | 8.161 | 1.187 |
| P5W_FA | 583 | 0.657 | 0.697 | 1.060 | 7.218 | 0.704 |
| P5W_OK | 580 | 1.021 | 1.879 | 5.266 | 8.614 | 0.898 |
| P5W_PP | 583 | 0.019 | 0.028 | 0.032 | 9.499 | 0.074 |
| P5W_PT | 583 | 5.445 | 8.136 | 17.326 | 5016.229 | 31.852 |
| P5W_SF | 583 | 0.040 | 0.058 | 0.480 | 7.308 | 0.098 |
| P5W_SR | 583 | 1.431 | 1.501 | 1.800 | 8.434 | 1.469 |
| R0_tls_h | 304 | 0.029 | 0.050 | 4.303 | 5.424 | 0.147 |
