| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 133766 | 0.826 | 4.242 | 14.039 | 726.473 | 2.347 |
| W2 | 133757 | 0.149 | 0.454 | 1.882 | 121.732 | 0.275 |
| W3 | 133757 | 0.027 | 0.138 | 2.403 | 1065.077 | 0.174 |
| W4 | 12 | 0.717 | 0.974 | 1.088 | 1.088 | 0.769 |
| W6 | 12 | 1.456 | 1.689 | 2.011 | 2.011 | 1.321 |
| W7 | 133757 | 0.036 | 0.039 | 0.775 | 116.000 | 0.106 |
| W8 | 133757 | 0.030 | 0.030 | 1.717 | 439.437 | 0.171 |
| W9 | 133757 | 0.022 | 0.024 | 0.034 | 181.789 | 0.043 |
| W10 | 133757 | 3.511 | 12.322 | 18.779 | 119.886 | 6.019 |
| W12 | 133723 | 0.325 | 2.838 | 9.047 | 44042.914 | 1.465 |
| R1 | 133475 | 7.230 | 11.038 | 17.578 | 138.114 | 5.356 |
| R2hit | 86210 | 0.079 | 0.194 | 0.431 | 117.407 | 0.145 |
| R2miss | 21267 | 2.661 | 3.689 | 7.899 | 116.886 | 2.838 |
| R3 | 283 | 9.603 | 10.754 | 15.802 | 26.234 | 9.777 |
| R4 | 283 | 0.404 | 0.747 | 1.205 | 5.953 | 0.482 |
| R6 | 130319 | 0.574 | 1.346 | 5.105 | 198.097 | 0.856 |
| I1 | 12 | 1.682 | 1.747 | 1.904 | 1.904 | 1.660 |
| I2 | 12 | 3.602 | 4.044 | 11.471 | 11.471 | 4.166 |
| I3 | 22 | 1.016 | 1.506 | 1.672 | 1.672 | 1.065 |
| I4 | 12 | 0.530 | 0.678 | 1.205 | 1.205 | 0.554 |
| I5 | 12 | 0.028 | 0.049 | 0.049 | 0.049 | 0.031 |
| I6 | 10 | 662.605 | 1921.617 | 1921.617 | 1921.617 | 738.761 |
| I7 | 12 | 0.031 | 0.057 | 0.057 | 0.057 | 0.034 |
| I8 | 12 | 0.031 | 0.081 | 0.226 | 0.226 | 0.051 |
| R0_tls_h | 25998 | 0.024 | 0.030 | 0.688 | 133.740 | 0.078 |
