| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 133475 | 0.806 | 3.902 | 13.555 | 520.595 | 2.203 |
| W2 | 133466 | 0.148 | 0.442 | 1.718 | 112.225 | 0.264 |
| W3 | 133466 | 0.027 | 0.136 | 3.885 | 101.823 | 0.159 |
| W7 | 133466 | 0.036 | 0.039 | 0.660 | 66.221 | 0.103 |
| W8 | 133466 | 0.030 | 0.030 | 1.751 | 94.911 | 0.151 |
| W9 | 133466 | 0.022 | 0.024 | 0.036 | 49.677 | 0.045 |
| W10 | 133466 | 3.440 | 11.967 | 18.397 | 182.375 | 5.789 |
| W12 | 133433 | 0.325 | 2.207 | 8.461 | 27643.212 | 3.305 |
| R1 | 133475 | 7.195 | 10.574 | 16.930 | 170.655 | 5.195 |
| R2hit | 86850 | 0.078 | 0.192 | 0.409 | 67.470 | 0.136 |
| R2miss | 19305 | 2.684 | 4.457 | 7.980 | 61.801 | 2.969 |
| R3 | 175 | 9.561 | 12.867 | 21.802 | 28.405 | 10.265 |
| R4 | 175 | 0.439 | 0.630 | 2.717 | 7.053 | 0.505 |
| R6 | 132585 | 0.552 | 1.331 | 4.931 | 20031.351 | 9.724 |
| I3 | 6 | 1.363 | 1.408 | 1.408 | 1.408 | 1.077 |
| R0_tls_h | 27320 | 0.024 | 0.029 | 0.621 | 13.779 | 0.065 |
