| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 150975 | 0.792 | 4.248 | 42.412 | 3400.156 | 3.910 |
| W2 | 150963 | 0.144 | 0.226 | 1.930 | 158.604 | 0.231 |
| W3 | 150963 | 0.027 | 0.147 | 0.451 | 197.376 | 0.155 |
| W4 | 18 | 0.734 | 0.802 | 0.888 | 0.888 | 0.735 |
| W6 | 18 | 1.359 | 1.562 | 1.688 | 1.688 | 1.291 |
| W7 | 150963 | 0.045 | 0.056 | 2.524 | 203.376 | 0.125 |
| W8 | 150963 | 0.030 | 0.031 | 1.650 | 178.645 | 0.129 |
| W9 | 150963 | 0.022 | 0.027 | 0.112 | 161.205 | 0.057 |
| W10 | 150963 | 3.745 | 14.420 | 25.105 | 989.119 | 6.638 |
| W12 | 150914 | 0.565 | 2.471 | 13.862 | 33602.545 | 1.711 |
| R1 | 100074 | 7.111 | 11.734 | 18.239 | 163.814 | 5.484 |
| R2hit | 64780 | 0.086 | 0.218 | 0.447 | 138.566 | 0.158 |
| R2miss | 16044 | 2.913 | 5.623 | 9.189 | 157.436 | 3.499 |
| R3 | 218 | 9.868 | 13.389 | 16.761 | 18.840 | 10.270 |
| R4 | 218 | 0.397 | 0.788 | 5.444 | 8.019 | 0.535 |
| R6 | 99368 | 0.940 | 2.214 | 6.231 | 143.768 | 1.231 |
| I1 | 18 | 1.649 | 1.828 | 1.878 | 1.878 | 1.604 |
| I2 | 18 | 3.553 | 3.967 | 4.146 | 4.146 | 3.462 |
| I3 | 34 | 1.059 | 1.524 | 1.754 | 1.754 | 1.066 |
| I4 | 18 | 0.493 | 0.685 | 1.303 | 1.303 | 0.527 |
| I5 | 18 | 0.028 | 0.049 | 0.056 | 0.056 | 0.031 |
| I6 | 16 | 623.960 | 1362.976 | 1369.090 | 1369.090 | 590.614 |
| I7 | 18 | 0.030 | 0.057 | 0.057 | 0.057 | 0.034 |
| I8 | 18 | 0.034 | 0.086 | 0.167 | 0.167 | 0.045 |
| R0_tls_h | 19249 | 0.030 | 0.039 | 0.093 | 19.119 | 0.072 |
