wl T cache kv rep1 rep2 rep3 rep4 rep5 median_mops max_mops
workloada 4 on 1024 1290289 399904 5876 1410556 1297084 1.2903 1.4106
workloada 8 on 1024 12073 2855837 2671368 2665387 2257132 2.6654 2.8558
workloada 32 off 1024 7713668 9066183 9004141 8762705 1496 8.7627 9.0662
workloada 64 off 1024 95762 13986013 95755 0 12578616 0.0958 13.9860
workloadb 4 on 256 1733823 1786160 1782785 1766035 1760253 1.7660 1.7862
workloadb 4 on 1024 1589319 0 318842 0 1743922 0.3188 1.7439
workloadb 2 off 256 928625 563647 925685 920183 487016 0.9202 0.9286
workloadb 4 off 256 1782848 1739372 1768847 51987 953270 1.7394 1.7828
workloadb 64 off 1024 10179153 11340440 1633 10824853 1191185 10.1792 11.3404
workloadc 32 on 256 7617306 6791632 6652474 6592827 7324934 6.7916 7.6173
workloadd 4 on 256 1283169 1193317 1286305 58972 58974 1.1933 1.2863
workloadd 4 off 256 0 1307360 58979 59006 59006 0.0590 1.3074
workloadd 4 off 512 1396960 1399972 1327245 1405757 1399462 1.3995 1.4058
workloadd 4 off 1024 1227536 1244431 1271358 58932 1276389 1.2444 1.2764
workloadf 64 off 256 12400793 12866700 12943308 12843565 15160703 12.8667 15.1607
## total=15 BIMODAL=3 FULL_COLLAPSE=0 OK=12
