| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 12382 | 0.770 | 4.151 | 11.004 | 107.852 | 1.784 |
| W2 | 10686 | 0.144 | 0.194 | 1.649 | 9.917 | 0.195 |
| W3 | 10686 | 0.027 | 0.029 | 5.083 | 58.558 | 0.188 |
| W7 | 10686 | 0.046 | 0.053 | 0.160 | 17.044 | 0.078 |
| W8 | 10686 | 0.029 | 0.030 | 5.832 | 94.045 | 0.210 |
| W9 | 10686 | 0.022 | 0.024 | 0.037 | 19.868 | 0.028 |
| W10 | 10686 | 3.538 | 15.265 | 25.861 | 90.986 | 5.816 |
| W12 | 10685 | 0.558 | 3.255 | 13.524 | 12206.869 | 2.609 |
| R1 | 5002 | 12.151 | 16.388 | 27.980 | 195.727 | 11.205 |
| R2hit | 660 | 0.233 | 0.418 | 0.631 | 14.186 | 0.283 |
| R2miss | 4260 | 1.955 | 4.567 | 8.291 | 44.921 | 2.526 |
| R3 | 47 | 10.373 | 12.141 | 16.334 | 16.334 | 10.616 |
| R6 | 925 | 1.013 | 2.743 | 4.892 | 12.567 | 1.388 |
| P5R_AK | 40 | 14.909 | 56.289 | 2108.356 | 2108.356 | 72.113 |
| P5R_GH | 38 | 0.027 | 0.028 | 0.048 | 0.048 | 0.027 |
| P5R_GZ | 38 | 2.970 | 3.729 | 14.478 | 14.478 | 3.269 |
| P5R_PL | 56 | 0.754 | 12368.882 | 13637.882 | 13637.882 | 3487.326 |
| P5R_VS | 40 | 0.758 | 3.639 | 3.860 | 3.860 | 1.403 |
| P5W_FA | 38 | 0.635 | 0.687 | 0.938 | 0.938 | 0.652 |
| P5W_OK | 37 | 1.242 | 2.004 | 2.111 | 2.111 | 1.206 |
| P5W_PP | 38 | 0.028 | 0.029 | 0.049 | 0.049 | 0.028 |
| P5W_PT | 38 | 5.442 | 8.289 | 5012.245 | 5012.245 | 138.060 |
| P5W_SF | 38 | 0.059 | 0.088 | 0.420 | 0.420 | 0.074 |
| P5W_SR | 38 | 1.367 | 1.428 | 1.686 | 1.686 | 1.367 |
| R0_tls_h | 36 | 0.097 | 0.127 | 0.196 | 0.196 | 0.088 |
