| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 12572 | 0.779 | 4.206 | 11.087 | 75.766 | 1.783 |
| W2 | 10243 | 0.148 | 0.330 | 1.782 | 13.239 | 0.213 |
| W3 | 10243 | 0.027 | 0.028 | 5.089 | 408.527 | 0.250 |
| W7 | 10243 | 0.046 | 0.049 | 0.100 | 44.870 | 0.078 |
| W8 | 10243 | 0.029 | 0.030 | 5.874 | 78.690 | 0.251 |
| W9 | 10243 | 0.022 | 0.024 | 0.031 | 4.914 | 0.024 |
| W10 | 10243 | 3.516 | 15.871 | 26.397 | 139.416 | 6.144 |
| W12 | 10239 | 0.561 | 5.728 | 14.099 | 108.852 | 1.709 |
| R1 | 4960 | 11.482 | 14.568 | 25.742 | 141.441 | 10.427 |
| R2hit | 623 | 0.225 | 0.392 | 0.599 | 11.004 | 0.296 |
| R2miss | 4233 | 1.741 | 3.553 | 7.611 | 75.468 | 2.258 |
| R3 | 39 | 9.862 | 12.525 | 17.044 | 17.044 | 10.393 |
| R6 | 936 | 0.879 | 2.004 | 3.664 | 30.712 | 1.165 |
| P5R_AK | 37 | 15.045 | 61.683 | 4951.091 | 4951.091 | 154.310 |
| P5R_GH | 38 | 0.027 | 0.028 | 0.048 | 0.048 | 0.027 |
| P5R_GZ | 38 | 2.960 | 3.813 | 22.943 | 22.943 | 3.532 |
| P5R_PL | 52 | 0.750 | 12460.705 | 12505.729 | 12505.729 | 2956.893 |
| P5R_VS | 38 | 0.802 | 3.551 | 4.479 | 4.479 | 1.240 |
| P5W_FA | 40 | 0.658 | 0.734 | 0.908 | 0.908 | 0.675 |
| P5W_OK | 40 | 0.513 | 1.760 | 1.887 | 1.887 | 0.875 |
| P5W_PP | 40 | 0.021 | 0.022 | 0.037 | 0.037 | 0.022 |
| P5W_PT | 40 | 5.473 | 8.526 | 14.180 | 14.180 | 6.249 |
| P5W_SF | 40 | 0.044 | 0.047 | 11.324 | 11.324 | 0.326 |
| P5W_SR | 40 | 1.433 | 1.571 | 1.770 | 1.770 | 1.450 |
| R0_tls_h | 69 | 0.060 | 0.073 | 0.123 | 0.123 | 0.053 |
