| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 150975 | 0.869 | 4.283 | 43.630 | 8956.216 | 4.502 |
| W2 | 150965 | 0.154 | 0.457 | 1.886 | 94.900 | 0.266 |
| W3 | 150965 | 0.027 | 0.162 | 0.694 | 504.572 | 0.191 |
| W4 | 11 | 0.763 | 0.986 | 1.099 | 1.099 | 0.831 |
| W6 | 11 | 1.372 | 1.594 | 1.773 | 1.773 | 1.217 |
| W7 | 150965 | 0.035 | 0.039 | 1.959 | 368.293 | 0.111 |
| W8 | 150965 | 0.029 | 0.030 | 1.588 | 478.211 | 0.156 |
| W9 | 150965 | 0.022 | 0.024 | 0.039 | 315.382 | 0.054 |
| W10 | 150965 | 3.562 | 12.726 | 18.104 | 1487.845 | 6.218 |
| W12 | 150916 | 0.342 | 2.732 | 9.049 | 38049.221 | 1.495 |
| R1 | 100074 | 7.065 | 10.464 | 16.537 | 374.878 | 5.264 |
| R2hit | 64278 | 0.079 | 0.201 | 0.420 | 230.643 | 0.149 |
| R2miss | 17175 | 2.795 | 4.726 | 8.117 | 85.485 | 3.073 |
| R3 | 227 | 13.634 | 14.719 | 26.401 | 28.115 | 14.031 |
| R4 | 204 | 0.344 | 0.603 | 1.001 | 1.660 | 0.390 |
| R6 | 97964 | 0.733 | 1.598 | 5.824 | 2497.990 | 1.141 |
| I1 | 11 | 1.689 | 1.765 | 1.867 | 1.867 | 1.645 |
| I2 | 11 | 3.453 | 4.591 | 5.293 | 5.293 | 3.696 |
| I3 | 20 | 0.994 | 1.616 | 1.729 | 1.729 | 1.118 |
| I4 | 11 | 0.577 | 0.794 | 1.326 | 1.326 | 0.627 |
| I5 | 11 | 0.029 | 0.050 | 0.050 | 0.050 | 0.034 |
| I6 | 9 | 1192.183 | 16832.078 | 16832.078 | 16832.078 | 3418.818 |
| I7 | 11 | 0.033 | 0.048 | 0.058 | 0.058 | 0.037 |
| I8 | 11 | 0.052 | 0.192 | 6.375 | 6.375 | 0.646 |
| R0_tls_h | 18621 | 0.025 | 0.028 | 0.805 | 150.978 | 0.079 |
