TSC freq calibrated: 2.000 GHz

| primitive                        |     N |  p50ns |  p99ns |   maxns |   p50c |   p99c |    maxc |
|----------------------------------|-------|--------|--------|---------|--------|--------|---------|
| mfence (alone)                   | 10000 |   23.0 |   24.0 |    48.0 |     46 |     48 |      96 |
| sfence (alone)                   | 10000 |   13.0 |   14.0 |    15.0 |     26 |     28 |      30 |
| lfence (alone)                   | 10000 |   16.0 |   17.0 |    18.0 |     32 |     34 |      36 |
| clflushopt+sfence (CXL)          | 10000 |  106.0 |  107.0 |   185.0 |    212 |    214 |     370 |
| LD-CXL (after flush+mfence)      | 10000 |  623.0 |  915.0 |  7778.0 |   1246 |   1830 |   15556 |
| ST-CXL+flush+sfence              | 10000 |   14.0 |   15.0 |   208.0 |     28 |     30 |     416 |
| CXL atomic fetch_add (no flush)  | 10000 |   17.0 |   17.0 |  1453.0 |     34 |     34 |    2906 |
| CXL atomic fetch_add+flush+sfence | 10000 | 1334.0 | 1619.0 | 11124.0 |   2668 |   3238 |   22248 |
| spinlock uncontested (lock+unlock) | 10000 |   29.0 |   30.0 |  1461.0 |     58 |     60 |    2922 |
| spinlock contested T=2           |  2000 |  250.0 | 2765.0 |  5791.0 |    500 |   5530 |   11582 |
| spinlock contested T=4           |  4000 | 1016.0 | 10814.0 | 148254.0 |   2032 |  21628 |  296508 |
| spinlock contested T=8           |  8000 | 3315.0 | 57061.0 | 278950.0 |   6630 | 114122 |  557900 |
| spinlock contested T=16          | 16000 | 2791.0 | 178165.0 | 739609.0 |   5582 | 356330 | 1479218 |
| spinlock contested T=32          | 32000 | 5048.0 | 381646.0 | 1857805.0 |  10096 | 763292 | 3715610 |
| spinlock contested T=64          | 64000 | 10576.0 | 859623.0 | 13048253.0 |  21152 | 1719246 | 26096500 |
