| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 105039 | 0.778 | 3.869 | 7.931 | 174.478 | 1.561 |
| W2 | 105026 | 0.153 | 0.506 | 1.887 | 73.326 | 0.280 |
| W3 | 105026 | 0.025 | 0.028 | 4.981 | 107.031 | 0.166 |
| W7 | 105026 | 0.035 | 0.039 | 0.058 | 55.015 | 0.086 |
| W8 | 105026 | 0.030 | 0.030 | 5.658 | 707.621 | 0.192 |
| W9 | 105026 | 0.021 | 0.024 | 0.030 | 37.456 | 0.034 |
| W10 | 105026 | 3.391 | 11.851 | 18.442 | 186.951 | 5.451 |
| W12 | 105020 | 0.309 | 3.342 | 8.386 | 29236.480 | 1.512 |
| R1 | 189949 | 7.342 | 11.338 | 18.436 | 366.664 | 5.370 |
| R2hit | 76401 | 0.080 | 0.226 | 0.428 | 266.260 | 0.171 |
| R2miss | 63728 | 1.628 | 3.259 | 6.449 | 200.135 | 2.144 |
| R3 | 500 | 10.459 | 11.541 | 18.745 | 112.742 | 10.750 |
| R4 | 500 | 0.635 | 0.946 | 4.920 | 8.703 | 0.720 |
| R6 | 148408 | 0.471 | 0.789 | 1.947 | 15027.490 | 2.117 |
| R0_tls_h | 49797 | 0.024 | 0.031 | 0.047 | 315.924 | 0.071 |
