| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 105086 | 0.775 | 3.594 | 7.779 | 86.281 | 1.477 |
| W2 | 105073 | 0.152 | 0.517 | 1.920 | 73.860 | 0.267 |
| W3 | 105073 | 0.025 | 0.028 | 4.924 | 76.623 | 0.162 |
| W7 | 105073 | 0.035 | 0.039 | 0.061 | 105.424 | 0.090 |
| W8 | 105073 | 0.029 | 0.030 | 1.920 | 88.568 | 0.172 |
| W9 | 105073 | 0.022 | 0.023 | 0.027 | 56.285 | 0.040 |
| W10 | 105073 | 3.306 | 11.547 | 18.168 | 518.244 | 5.196 |
| W12 | 105066 | 0.308 | 2.706 | 8.388 | 8038.336 | 1.129 |
| R1 | 189949 | 7.691 | 11.807 | 19.082 | 277.486 | 5.624 |
| R2hit | 87146 | 0.079 | 0.212 | 0.397 | 161.717 | 0.151 |
| R2miss | 42759 | 2.707 | 3.438 | 7.106 | 68.498 | 2.483 |
| R3 | 437 | 12.714 | 13.726 | 23.745 | 37.047 | 13.057 |
| R4 | 392 | 0.368 | 0.541 | 0.795 | 7.799 | 0.419 |
| R6 | 170956 | 0.467 | 0.659 | 1.658 | 211.193 | 0.567 |
| R0_tls_h | 60044 | 0.024 | 0.028 | 0.040 | 208.492 | 0.070 |
