wl T cache kv rep1 rep2 rep3 rep4 rep5 median_mops max_mops
workloada 2 on 256 706903 2987 2987 737376 771962 0.7069 0.7720
workloada 4 on 256 461761 451499 1534730 1561621 5877 0.4618 1.5616
workloada 8 on 256 3121488 2600104 3174200 3164757 0 3.1215 3.1742
workloada 16 on 256 24179 24179 24179 24180 5185108 0.0242 5.1851
workloada 32 on 256 9394964 8896797 50548 1179 9122422 8.8968 9.3950
workloada 64 on 256 2403 95756 95774 2886 13808340 0.0958 13.8083
workloada 4 on 512 1423487 1469896 1528444 1528537 1536381 1.5284 1.5364
workloada 64 on 1024 13301409 12183235 13358268 13287270 12112403 13.2873 13.3583
workloada 16 off 256 5185108 1735809 719 24180 24120 0.0242 5.1851
workloada 32 off 256 1152 50780 1152 50805 50806 0.0508 0.0508
workloada 64 off 256 12468827 95757 95757 95759 95756 0.0958 12.4688
workloada 32 off 512 8588114 50801 1152 50797 9170946 0.0508 9.1709
workloada 64 off 512 16046213 95746 13336889 95747 95747 0.0957 16.0462
workloadb 32 on 256 6302785 6119951 773 633697 813 0.6337 6.3028
workloadb 2 on 512 856839 0 0 27432 812057 0.0274 0.8568
workloadb 8 on 512 3211716 129652 3193459 3228514 0 3.1935 3.2285
workloadb 2 off 256 813709 27819 448205 871292 26964 0.4482 0.8713
workloadb 8 off 256 127055 0 3061661 126812 1310341 0.1271 3.0617
workloadb 16 off 1024 4551661 4379050 4600662 6125199 4678581 4.6007 6.1252
workloadc 32 on 256 5877512 752 5910864 6839009 7551729 5.9109 7.5517
workloadc 64 on 256 1515 10778184 10843634 10475591 1552 10.4756 10.8436
workloadd 2 on 256 1356 661489 0 191927 704801 0.1919 0.7048
workloadd 2 on 512 696786 695574 695439 696786 695052 0.6956 0.6968
workloadd 8 on 512 122205 2313529 2471332 2809935 2644663 2.4713 2.8099
workloadd 32 on 512 6529119 750 6455777 6198090 6667555 6.4558 6.6676
workloadd 64 off 512 10322047 1543 543289 11457378 10599957 10.3220 11.4574
workloadd 64 off 1024 10829542 10787486 11118523 542640 10924186 10.8295 11.1185
workloadf 4 on 256 1545069 1531487 1543591 1507522 1534118 1.5341 1.5451
workloadf 32 on 256 59948 59912 7761564 7885191 7625438 7.6254 7.8852
workloadf 4 on 512 1531581 1528397 1541164 0 0 1.5284 1.5412
workloadf 16 on 512 1314164 5936832 469 2178079 30607 1.3142 5.9368
workloadf 64 on 512 11460004 13255567 124302 124290 124302 0.1243 13.2556
workloadf 32 on 1024 6613756 6453278 6559097 6578947 7110352 6.5789 7.1104
workloadf 2 off 256 795203 793713 4250 4233 769301 0.7693 0.7952
workloadf 8 off 256 16769 16770 1039803 919235 3101159 0.9192 3.1012
workloadf 32 off 256 7950389 7662835 7723200 7813720 59935 7.7232 7.9504
workloadf 8 off 512 2474390 3030854 1115623 2810725 3001741 2.8107 3.0309
workloadf 16 off 1024 4820671 5707762 5336179 5006508 4704996 5.0065 5.7078
workloada 4 off 256 1460109 0 5827 5813 5809 0.0058 1.4601
workloada 8 off 256 3173394 12076 12075 2676516 3049524 2.6765 3.1734
workloada 8 off 512 2612739 12073 3011866 2481512 0 2.4815 3.0119
workloadb 2 on 256 815354 27817 27818 27818 27819 0.0278 0.8154
workloadb 4 on 256 1617808 1612695 1618908 53397 53392 1.6127 1.6189
workloadb 4 off 1024 1671737 1676502 1688162 53617 1689817 1.6765 1.6898
workloadc 2 on 256 923719 928677 927695 922611 0 0.9237 0.9287
workloadc 4 on 256 1621849 1618437 1617442 1616814 1710161 1.6184 1.7102
workloadc 4 off 256 1682312 0 1710981 1648804 1702359 1.6823 1.7110
workloadc 8 on 1024 3236455 2766864 3116429 3114294 3119930 3.1164 3.2365
workloadc 8 off 256 3178639 2898550 3518896 3443763 2997422 3.1786 3.5189
workloadc 16 off 256 5620503 5432420 5942476 5646527 0 5.6205 5.9425
workloadd 4 on 256 1414267 58992 58967 58991 58993 0.0590 1.4143
workloadd 8 on 256 122163 0 257516 2316852 0 0.1222 2.3169
workloadd 16 on 256 224656 224718 4408004 224737 224983 0.2247 4.4080
