insert,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
insert,INS_pre_flush,100000,119,118,151,245,261,59,5673
insert,INS_pre_scan,100000,1557,1403,2702,3553,4257,570,467891
insert,INS_alloc,100000,678,661,692,838,2945,32,249259
insert,INS_write_pair,100000,852,846,853,872,959,700,246894
insert,INS_lock,100000,4510,4532,4885,5483,7884,3526,253298
insert,INS_verify,100000,1762,1619,3025,3904,4783,648,248245
insert,INS_publish,100000,22,17,17,19,30,14,249650
insert,INS_unlock,100000,20,16,17,21,43,14,215492
insert,INS_cache,100000,2381,2279,2514,5513,10992,643,272026
insert,INS_TOTAL,100000,11919,11666,14204,16751,30204,8044,2023840
insert,SRC_cache_lookup,100000,26,26,27,28,57,20,4897
insert,SRC_fast_path,100000,1382,1356,1474,1610,5013,1228,277429
insert,SRC_cache_update,100000,27,27,28,29,42,21,27366
insert,SRC_TOTAL,100000,1453,1426,1543,1678,5224,1299,294012
search,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
search,SRC_cache_lookup,100000,26,26,27,28,78,20,3285
search,SRC_fast_path,100000,1369,1355,1469,1595,1767,1222,61360
search,SRC_cache_update,100000,26,27,28,29,41,21,140
search,SRC_TOTAL,100000,1439,1425,1537,1661,1831,1292,61452
update,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
update,UPD_flush_scan,100000,2414,2309,3559,4440,5220,1288,82469
update,UPD_alloc_write,100000,62,33,35,1502,2142,31,266286
update,UPD_lock,100000,4951,4879,5477,5824,8192,3856,255546
update,UPD_verify,100000,1615,1592,1740,1888,2924,1374,470048
update,UPD_publish,100000,16,15,16,16,25,14,68954
update,UPD_unlock,100000,22,16,17,18,119,14,254879
update,UPD_free,100000,3112,3040,3612,3952,5830,704,135603
update,UPD_cache,100000,32,25,26,38,253,23,277572
update,UPD_TOTAL,100000,12242,12130,13564,14750,20040,9464,1373272
delete,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
delete,DEL_flush_scan,100000,1548,1540,1671,1815,1929,1303,63664
delete,DEL_lock,100000,4394,4384,4769,4920,6692,3799,758469
delete,DEL_verify,100000,1609,1593,1745,1876,2008,1364,91295
delete,DEL_clear,100000,15,15,16,16,29,14,16892
delete,DEL_unlock,100000,17,16,17,17,32,14,32968
delete,DEL_free,100000,3010,2985,3248,3805,5293,1334,90649
delete,DEL_cache,100000,63,48,125,159,272,42,30015
delete,DEL_TOTAL,100000,10673,10639,11338,11840,15746,9252,893798
