op,direction,count,avg_us,p50_us,p90_us,p99_us,p999_us,min_us,max_us
insert,all,100000,4.341,5.000,7.000,8.000,10.000,0.700,83.000
insert,local,50008,1.670,2.000,2.000,3.000,3.000,0.700,13.000
insert,xhost,49992,7.014,7.000,8.000,8.000,11.000,5.000,83.000
update,all,100000,6.949,5.000,13.000,14.000,16.000,0.700,480.000
update,local,50008,1.566,2.000,2.000,3.000,3.000,0.700,46.000
update,xhost,49992,12.333,12.000,13.000,14.000,17.000,7.000,480.000
search,all,100000,5.288,2.000,10.000,11.000,12.000,0.700,62.000
search,local,50008,0.878,0.845,1.000,2.000,2.000,0.700,11.000
search,xhost,49992,9.700,10.000,10.000,11.000,13.000,6.000,62.000
delete,all,100000,3.252,2.000,6.000,6.000,8.000,0.700,81.000
delete,local,50008,1.073,1.000,2.000,2.000,2.000,0.700,8.000
delete,xhost,49992,5.432,5.000,6.000,7.000,9.000,4.000,81.000
