| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 10345 | 0.752 | 1.023 | 6.238 | 73.593 | 0.954 |
| W2 | 10175 | 0.143 | 0.181 | 0.887 | 6.379 | 0.175 |
| W3 | 10175 | 0.025 | 0.028 | 5.133 | 50.054 | 0.220 |
| W7 | 10175 | 0.031 | 0.032 | 0.048 | 4.720 | 0.045 |
| W8 | 10175 | 0.029 | 0.030 | 5.832 | 43.075 | 0.228 |
| W9 | 10175 | 0.022 | 0.024 | 0.028 | 2.612 | 0.022 |
| W10 | 10175 | 2.804 | 6.872 | 12.355 | 59.619 | 3.856 |
| W12 | 10175 | 0.186 | 0.222 | 5.348 | 1165.643 | 0.529 |
| R1 | 9508 | 12.534 | 16.870 | 27.809 | 206.709 | 10.878 |
| R2hit | 1250 | 0.226 | 0.389 | 0.510 | 12.565 | 0.264 |
| R2miss | 8080 | 1.619 | 2.519 | 7.085 | 124.246 | 1.863 |
| R3 | 78 | 9.803 | 10.643 | 18.830 | 18.830 | 10.007 |
| R4 | 5 | 1.418 | 1.424 | 1.424 | 1.424 | 1.292 |
| R6 | 1797 | 0.750 | 1.034 | 1.812 | 15.165 | 0.834 |
| P5R_AK | 6 | 261.153 | 5879.730 | 5879.730 | 5879.730 | 1111.349 |
| P5R_GH | 6 | 0.029 | 0.048 | 0.048 | 0.048 | 0.031 |
| P5R_GZ | 6 | 3.157 | 10.222 | 10.222 | 10.222 | 4.351 |
| P5R_PL | 19 | 11944.164 | 12916.283 | 14737.248 | 14737.248 | 8185.644 |
| P5R_VS | 6 | 0.838 | 1.118 | 1.118 | 1.118 | 0.867 |
| R0_tls_h | 126 | 0.052 | 0.088 | 0.122 | 0.147 | 0.059 |
