[A:cfg] ring_sharding T=64 N=4 -> shards=16 block=4 routing=worker_id
[A:thread] Worker pinned host=0 client=1 -> cpu=1 (pid=46397)
[A:thread] Worker pinned host=0 client=2 -> cpu=2 (pid=46398)
[A:thread] Worker pinned host=0 client=3 -> cpu=3 (pid=46399)
[A:thread] Worker pinned host=0 client=4 -> cpu=4 (pid=46400)
[A:thread] Worker pinned host=0 client=5 -> cpu=5 (pid=46401)
[A:thread] Worker pinned host=0 client=6 -> cpu=6 (pid=46402)
[A:thread] Worker pinned host=0 client=7 -> cpu=7 (pid=46403)
[A:thread] Worker pinned host=0 client=8 -> cpu=8 (pid=46404)
[A:thread] Worker pinned host=0 client=9 -> cpu=9 (pid=46405)
[A:thread] Worker pinned host=0 client=10 -> cpu=10 (pid=46406)
[A:thread] Worker pinned host=0 client=11 -> cpu=11 (pid=46407)
[A:thread] Worker pinned host=0 client=12 -> cpu=12 (pid=46408)
[A:thread] Worker pinned host=0 client=13 -> cpu=13 (pid=46409)
[A:thread] Worker pinned host=0 client=14 -> cpu=14 (pid=46410)
[A:thread] Worker pinned host=0 client=15 -> cpu=15 (pid=46411)
[A:thread] Worker pinned host=0 client=16 -> cpu=16 (pid=46412)
[A:thread] Worker pinned host=0 client=17 -> cpu=17 (pid=46413)
[A:thread] Worker pinned host=0 client=18 -> cpu=18 (pid=46414)
[A:thread] Worker pinned host=0 client=19 -> cpu=19 (pid=46415)
[A:thread] Worker pinned host=0 client=20 -> cpu=20 (pid=46416)
[A:thread] Worker pinned host=0 client=21 -> cpu=21 (pid=46417)
[A:thread] Worker pinned host=0 client=22 -> cpu=22 (pid=46418)
[A:thread] Worker pinned host=0 client=23 -> cpu=23 (pid=46419)
[A:thread] Worker pinned host=0 client=24 -> cpu=24 (pid=46420)
[A:thread] Worker pinned host=0 client=25 -> cpu=25 (pid=46421)
[A:thread] Worker pinned host=0 client=26 -> cpu=26 (pid=46422)
[A:thread] Worker pinned host=0 client=27 -> cpu=27 (pid=46423)
[A:thread] Worker pinned host=0 client=28 -> cpu=28 (pid=46424)
[A:thread] Worker pinned host=0 client=29 -> cpu=29 (pid=46425)
[A:thread] Worker pinned host=0 client=30 -> cpu=30 (pid=46426)
[A:thread] Worker pinned host=0 client=31 -> cpu=31 (pid=46427)
[A:thread] Worker pinned host=0 client=32 -> cpu=32 (pid=46428)
[A:thread] Worker pinned host=0 client=33 -> cpu=33 (pid=46429)
[A:thread] Worker pinned host=0 client=34 -> cpu=34 (pid=46430)
[A:thread] Worker pinned host=0 client=35 -> cpu=35 (pid=46431)
[A:thread] Worker pinned host=0 client=36 -> cpu=36 (pid=46432)
[A:thread] Worker pinned host=0 client=37 -> cpu=37 (pid=46433)
[A:thread] Worker pinned host=0 client=38 -> cpu=38 (pid=46434)
[A:thread] Worker pinned host=0 client=39 -> cpu=39 (pid=46435)
[A:thread] Worker pinned host=0 client=40 -> cpu=40 (pid=46436)
[A:thread] Worker pinned host=0 client=41 -> cpu=41 (pid=46437)
[A:thread] Worker pinned host=0 client=42 -> cpu=42 (pid=46438)
[A:thread] Worker pinned host=0 client=43 -> cpu=43 (pid=46439)
[A:thread] Worker pinned host=0 client=44 -> cpu=44 (pid=46440)
[A:thread] Worker pinned host=0 client=45 -> cpu=45 (pid=46441)
[A:thread] Worker pinned host=0 client=46 -> cpu=46 (pid=46442)
[A:thread] Worker pinned host=0 client=47 -> cpu=47 (pid=46443)
[A:thread] Worker pinned host=0 client=48 -> cpu=48 (pid=46444)
[A:thread] Worker pinned host=0 client=49 -> cpu=49 (pid=46445)
[A:thread] Worker pinned host=0 client=50 -> cpu=50 (pid=46446)
[A:thread] Worker pinned host=0 client=51 -> cpu=51 (pid=46447)
[A:thread] Worker pinned host=0 client=52 -> cpu=52 (pid=46448)
[A:thread] Worker pinned host=0 client=53 -> cpu=53 (pid=46449)
[A:thread] Worker pinned host=0 client=54 -> cpu=54 (pid=46450)
[A:thread] Worker pinned host=0 client=55 -> cpu=55 (pid=46451)
[A:thread] Worker pinned host=0 client=56 -> cpu=56 (pid=46452)
[A:thread] Worker pinned host=0 client=57 -> cpu=57 (pid=46453)
[A:thread] Worker pinned host=0 client=58 -> cpu=58 (pid=46454)
[A:thread] Worker pinned host=0 client=59 -> cpu=59 (pid=46455)
[A:thread] Worker pinned host=0 client=60 -> cpu=60 (pid=46456)
[A:thread] Worker pinned host=0 client=61 -> cpu=61 (pid=46457)
[A:thread] Worker pinned host=0 client=62 -> cpu=62 (pid=46458)
[A:thread] Worker pinned host=0 client=0 -> cpu=0 (pid=46373)
[A:thread] Worker pinned host=0 client=63 -> cpu=63 (pid=46459)
[A:thread] WriteRecv0 pid=46373 tid=140476495591104 cpu=64 host=0 rings=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]
[A:thread] ReadRecv0 pid=46373 tid=140476487198400 cpu=65 host=0 rings=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]
[A:thread] InvalRecv0 pid=46373 tid=140476478805696 cpu=66 host=0 rings=[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]
[A:thread] ReservHandler pid=46373 tid=140476428785344 pinned cpu=85 (host_id=0)
[A:tls] worker host=0 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=60 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=63 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=0 client=26 entries=1024 (~1088 KiB)
# PATH host=0 label=after_LOAD tid=140476495804544 r0_tls=0 r2hit=0 r2miss_local=0 r3=0 cpool_ins_r=0 local_w=1000929 fwd_w=0 local_w_blk_fwd=0 local_w_stg_fwd=0 cpool_ins_w=1000928 cp_evict=0 cp_set_stale=0 cp_lru_evict=486676 rh_served=0
