op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594037928247,1474,2912,334,46342,3356,7832,62250,7514,1432,38,8984,53266
72057594037929126,1418,2548,274,55166,4094,7288,70788,7440,3190,36,10666,60122
72057594037929195,2028,2696,244,52586,3066,8226,68846,7620,1438,42,9100,59746
72057594037929684,1242,2586,162,46222,2962,7030,60204,7446,1502,38,8986,51218
72057594037929870,1244,2702,270,65204,3148,7970,80538,7540,1402,36,8978,71560
72057594037929941,1248,2714,334,52672,3256,8144,68368,7548,1894,40,9482,58886
72057594037930632,1338,2512,250,54536,2760,7890,69286,7694,3004,36,10734,58552
72057594037930786,1268,2562,250,53082,4078,7666,68906,7634,1530,40,9204,59702
72057594037930822,1256,2722,622,52718,4046,7836,69200,7688,1556,38,9282,59918
72057594037930942,1244,2528,252,53844,3714,8046,69628,7522,1518,38,9078,60550
72057594037930987,1242,2694,330,65290,4054,7814,81424,8208,1384,36,9628,71796
72057594037931251,1376,2760,312,54454,4206,8160,71268,7710,9742,36,17488,53780
72057594037931277,1284,2710,156,51472,4004,4276,63902,7760,3122,36,10918,52984
72057594037931491,1266,2688,120,53412,3230,8302,69018,7632,3308,38,10978,58040
72057594037932086,1258,2700,344,53052,3334,8294,68982,7728,1494,36,9258,59724
72057594037932412,1272,2568,68,47758,4044,7830,63540,7538,3860,38,11436,52104
72057594037932773,1272,2654,268,72278,4126,8324,88922,7674,3014,36,10724,78198
72057594037932799,1264,2672,382,50316,4194,4264,63092,7650,1474,36,9160,53932
72057594037933716,1270,2618,154,52546,2828,7602,67018,7440,1904,38,9382,57636
72057594037933908,1244,2912,128,53356,4186,4842,66668,7574,1352,36,8962,57706
72057594037933949,1898,2734,172,58344,3178,4294,70620,7474,1512,40,9026,61594
72057594037934008,1466,2508,76,50922,3908,4524,63404,7372,1410,36,8818,54586
72057594037934244,1272,2642,282,57706,2914,3350,68166,7612,1440,40,9092,59074
72057594037934351,1264,2730,292,45602,3046,3722,56656,7540,3384,36,10960,45696
72057594037934372,1254,2676,180,50278,4144,4260,62792,7686,1470,40,9196,53596
72057594037935240,1276,2514,76,54272,4042,3450,65630,7382,1504,36,8922,56708
72057594037935777,1262,2606,274,58090,3018,9592,74842,7562,1472,36,9070,65772
72057594037935944,1278,13096,74,55832,3286,4172,77738,7510,1358,36,8904,68834
72057594037936098,1254,2728,310,45036,4126,4346,57800,7592,3306,38,10936,46864
72057594037936597,1348,2766,316,43766,4220,8256,60672,7364,2956,38,10358,50314
72057594037936810,1262,2524,280,56754,3864,5006,69690,7646,1576,36,9258,60432
72057594037937435,1266,2692,340,53898,4188,4162,66546,7474,1394,36,8904,57642
72057594037938028,1266,2596,270,54862,3924,8098,71016,7370,3034,36,10440,60576
72057594037938047,1278,2750,340,57474,4126,8724,74692,7766,1414,38,9218,65474
72057594037938148,1312,2688,166,57554,4050,4116,69886,7598,1428,36,9062,60824
72057594037938354,1262,2514,76,57028,3906,4188,68974,7488,1376,36,8900,60074
72057594037938945,1266,2870,308,56432,4902,8018,73796,7386,1366,36,8788,65008
72057594037938995,1866,2660,134,55492,4130,4176,68458,7406,1420,38,8864,59594
72057594037939044,1250,2554,318,66894,4524,8480,84020,7568,1410,38,9016,75004
72057594037939051,1260,2648,158,55152,2930,8254,70402,7346,1524,36,8906,61496
72057594037939343,1270,3182,76,53926,4344,3296,66094,7552,1496,40,9088,57006
72057594037939591,1576,2512,308,60986,2786,8198,76366,7500,1404,36,8940,67426
72057594037928537,1180,2470,276,54148,2720,20150,80944,7514,1374,36,8924,72020
72057594037928704,1168,2398,260,54312,3704,8472,70314,7420,1382,36,8838,61476
72057594037928903,1174,2608,260,55786,3100,7008,69936,7616,3740,36,11392,58544
72057594037929103,1170,2424,308,55356,2624,8462,70344,7572,2996,40,10608,59736
72057594037929136,1172,2582,270,54282,3146,7712,69164,7776,2956,38,10770,58394
72057594037929784,1182,2446,182,61394,3796,7842,76842,7508,1366,36,8910,67932
72057594037929885,1166,2524,68,58260,3624,8242,73884,7560,1386,38,8984,64900
72057594037930000,1170,2644,240,50132,3782,4278,62246,7512,2008,38,9558,52688
72057594037930078,1162,2658,128,57470,3880,8034,73332,7656,1516,36,9208,64124
72057594037930137,1178,2590,292,63828,3962,7488,79338,7638,1712,40,9390,69948
72057594037930215,1176,2660,266,36314,3970,8212,52598,7500,1378,40,8918,43680
72057594037930233,1174,2416,270,48370,3566,4358,60154,7584,1518,40,9142,51012
72057594037930515,1188,2542,270,67818,4250,8710,84778,7674,1544,44,9262,75516
72057594037930632,1192,2440,304,52500,3610,7486,67532,7694,3004,36,10734,56798
72057594037930732,1184,2438,274,55670,2744,7428,69738,7412,1386,40,8838,60900
72057594037931105,1188,2606,324,54186,3960,8248,70512,7526,1674,36,9236,61276
72057594037931247,1244,2394,342,46636,3930,8432,62978,7622,1492,36,9150,53828
72057594037931420,1172,2620,340,61824,2904,7992,76852,3768,1510,36,5314,71538
72057594037932265,1198,2670,316,53086,4138,7004,68412,7726,1416,40,9182,59230
72057594037932741,1222,2520,270,51394,3776,7380,66562,7680,2984,36,10700,55862
72057594037932988,1168,2560,74,59738,2840,3488,69868,2780,1394,36,4210,65658
72057594037934073,1176,2452,216,66646,3632,8854,82976,7570,1388,36,8994,73982
72057594037934092,1988,2560,122,57294,2842,4214,69020,8084,1910,36,10030,58990
72057594037934456,1186,2430,178,57602,3766,8376,73538,7666,1376,36,9078,64460
72057594037934780,1192,2424,144,53812,3804,3338,64714,7444,1340,38,8822,55892
72057594037935264,1176,2768,320,52928,3024,3444,63660,7696,3104,38,10838,52822
72057594037935616,1180,2648,150,50046,4042,8944,67010,7614,1532,38,9184,57826
72057594037936404,1198,2642,202,61696,3180,4740,73658,7676,1332,38,9046,64612
72057594037936445,1190,2454,140,53042,2894,4224,63944,7566,1396,40,9002,54942
72057594037936881,1174,2534,196,51852,3114,7776,66646,7624,1486,36,9146,57500
72057594037937071,1180,2442,258,63828,2620,3410,73738,7838,1464,36,9338,64400
72057594037937501,1224,2614,176,53056,3954,3484,64508,7648,1534,36,9218,55290
72057594037938170,1180,2702,130,59196,3224,3548,69980,7514,1420,40,8974,61006
72057594037938213,1180,2656,332,42166,3222,9176,58732,7470,1446,38,8954,49778
72057594037938864,1190,2428,154,46328,4256,3308,57664,7980,3662,36,11678,45986
72057594037939294,1180,2440,326,66356,3786,3526,77614,7526,1358,34,8918,68696
72057594037939486,1170,2664,284,51614,3812,9100,68644,7802,1432,36,9270,59374
72057594037940071,1174,2594,308,52296,3874,8158,68404,7794,1390,40,9224,59180
72057594037940094,1244,2462,272,41928,3788,7920,57614,7430,1538,38,9006,48608
72057594037940254,1180,2546,330,45420,3220,8168,60864,7622,2012,40,9674,51190
72057594037940342,1218,2434,68,50610,3778,3518,61626,7832,1404,40,9276,52350
72057594037927961,1244,2670,326,49626,3184,4956,62006,7576,1558,42,9176,52830
72057594037928011,1360,2684,254,48396,2998,3484,59176,7432,1428,46,8906,50270
72057594037928190,1530,2630,348,49874,4144,4508,63034,7652,3192,38,10882,52152
72057594037928287,1262,2612,304,50438,2850,4454,61920,7704,1466,36,9206,52714
72057594037928688,1374,2604,308,48258,2870,4488,59902,7344,1526,38,8908,50994
72057594037928771,1270,2808,336,51070,4370,4634,64488,7480,1398,36,8914,55574
72057594037928786,1258,2574,192,60088,4096,4476,72684,7488,1390,40,8918,63766
72057594037929127,1280,2780,396,51006,4196,4406,64064,8030,1448,38,9516,54548
72057594037929289,1274,2786,180,56402,4514,4522,69678,7566,1450,40,9056,60622
72057594037929592,1264,2712,152,47846,4210,4446,60630,7444,1434,38,8916,51714
72057594037929695,2054,2486,336,47778,2826,4590,60070,7498,1382,36,8916,51154
72057594037930250,1266,2622,378,55544,3914,4626,68350,7618,1430,42,9090,59260
72057594037930639,450,2650,304,42474,4278,4452,54608,7486,1524,38,9048,45560
72057594037930649,1266,2762,334,59268,4180,4530,72340,7798,1758,36,9592,62748
72057594037930745,1260,2692,304,48522,4176,4452,61406,7422,1370,38,8830,52576
72057594037930998,1260,2756,354,49294,4154,4456,62274,7428,3026,36,10490,51784
72057594037931849,1600,2584,286,56374,4090,4538,69472,7898,1710,36,9644,59828
72057594037931966,1274,2734,182,57378,4062,4624,70254,7690,1388,36,9114,61140
72057594037931968,1256,2550,316,48838,4036,4686,61682,7530,1348,36,8914,52768
72057594037932067,1284,2724,142,48812,3176,4686,60824,7282,1416,36,8734,52090
72057594037932126,11656,2700,340,54546,4202,4556,78000,7472,1406,36,8914,69086
72057594037933053,1264,2628,266,57242,4102,4576,70078,7576,1874,40,9490,60588
72057594037933668,1286,2520,316,57050,3828,4542,69542,7574,1358,36,8968,60574
72057594037934174,1570,2524,256,58782,3992,5206,72330,7870,1378,12406,21654,50676
72057594037934586,1278,2696,182,57092,4248,4310,69806,7564,1438,40,9042,60764
72057594037935443,1264,2786,324,58182,3268,4648,70472,7932,1382,36,9350,61122
72057594037935509,1270,2622,292,53874,2918,4634,65610,2794,1380,38,4212,61398
72057594037935514,1306,2710,304,48774,4102,4702,61898,7554,1420,38,9012,52886
72057594037936055,1270,2634,74,50822,2970,4534,62304,7382,1372,42,8796,53508
72057594037936385,1260,2772,336,49646,4464,4488,62966,7608,3070,36,10714,52252
72057594037936386,1162,26648,624,25438,4048,4548,62468,7562,1514,36,9112,53356
72057594037937190,1268,2786,306,57708,4042,4622,70732,7482,1566,38,9086,61646
72057594037937646,1264,2630,330,55596,3950,5510,69280,7276,1348,36,8660,60620
72057594037937871,1268,2634,460,49806,4228,4558,62954,7606,1416,40,9062,53892
72057594037937965,1286,2564,304,59078,3906,4564,71702,7502,1514,36,9052,62650
72057594037938376,1264,2748,262,57098,4130,5322,70824,7380,1626,36,9042,61782
72057594037938513,1274,2630,290,48808,4098,4636,61736,7858,1476,38,9372,52364
72057594037939298,1266,2540,258,50506,2766,4558,61894,7514,3060,38,10612,51282
72057594037939678,1270,2822,302,58650,4232,3544,70820,7906,3248,36,11190,59630
72057594037928668,1180,2550,282,45236,3848,7682,60778,7604,1394,36,9034,51744
72057594037928676,1180,2480,150,41514,3822,4026,53172,7692,1366,36,9094,44078
72057594037928732,1190,2470,174,41518,2968,7814,56134,7510,1410,36,8956,47178
72057594037928738,1186,2530,310,55860,3856,7436,71178,7582,1346,36,8964,62214
72057594037928897,1204,2794,334,54512,3002,8034,69880,7368,1402,36,8806,61074
72057594037929160,1180,2424,288,61852,3844,7158,76746,7566,1398,40,9004,67742
72057594037929769,1186,2662,188,51236,3934,7266,66472,7524,1540,38,9102,57370
72057594037929965,1824,2608,304,50350,3934,7726,66746,7470,9884,42,17396,49350
72057594037930049,1196,2578,338,54436,2868,7590,69006,7408,1516,42,8966,60040
72057594037930116,1202,2556,258,67688,2848,3914,78466,7706,1534,36,9276,69190
72057594037930170,1186,2512,288,44540,2894,8450,59870,7618,1504,38,9160,50710
72057594037930417,1188,2598,304,54414,3066,6716,68286,7472,1644,40,9156,59130
72057594037930513,1182,2614,266,42576,3110,6658,56406,7894,1452,42,9388,47018
72057594037930785,1636,2708,300,44982,4090,2976,56692,7314,1400,36,8750,47942
72057594037931233,1196,2454,122,52812,3658,8474,68716,7794,1400,36,9230,59486
72057594037931746,1190,2690,66,46172,3974,7422,61514,7344,1540,38,8922,52592
72057594037931953,1208,2512,320,52334,3834,7986,68194,7600,1520,36,9156,59038
72057594037932519,1186,2686,268,54944,3148,3670,65902,7850,1432,36,9318,56584
72057594037932748,1178,2400,336,53654,3700,3116,64384,7912,1368,36,9316,55068
72057594037932862,1208,2634,248,52064,3988,8978,69120,8446,1398,40,9884,59236
72057594037933135,1188,2448,284,53114,3810,6840,67684,7386,1348,36,8770,58914
72057594037933359,1172,2612,342,63410,4018,6830,78384,8270,1530,38,9838,68546
72057594037933440,1190,2600,264,59578,3836,2968,70436,7728,1356,36,9120,61316
72057594037933543,1188,2576,334,51798,2886,3942,62724,7828,1430,36,9294,53430
72057594037933545,1182,2708,342,52826,3952,4112,65122,7694,1334,38,9066,56056
72057594037934101,1210,2758,10132,43118,3208,7004,67430,7608,2992,38,10638,56792
72057594037934157,1194,3452,286,50614,3382,3980,62908,7252,1420,40,8712,54196
72057594037934299,1200,2680,310,57074,4160,7154,72578,7816,9808,36,17660,54918
72057594037935246,1188,2512,252,51146,3890,8510,67498,7654,1590,36,9280,58218
72057594037935461,1188,2456,310,51108,4038,3970,63070,7482,1488,40,9010,54060
72057594037935763,1194,2506,258,53620,2972,3032,63582,7466,1530,40,9036,54546
72057594037936173,1194,2568,214,46010,3926,3072,56984,7842,3490,38,11370,45614
72057594037936225,1190,2544,80,59630,3794,7592,74830,7602,1424,38,9064,65766
72057594037936434,1894,2554,202,46172,3930,3892,58644,7730,2918,36,10684,47960
72057594037936452,1044,12850,260,50690,4158,8064,77066,7358,1522,34,8914,68152
72057594037938192,1740,2574,62,58284,4126,3964,70750,7558,1358,38,8954,61796
72057594037938507,1192,2652,150,57978,3806,9112,74890,7540,1758,36,9334,65556
72057594037938916,1258,2680,200,61460,2990,3172,71760,7648,1370,40,9058,62702
72057594037939290,1198,2536,254,58934,2928,7812,73662,7656,1464,36,9156,64506
72057594037939497,1196,2596,268,57260,3996,2988,68304,7456,1410,38,8904,59400
72057594037939744,1188,2520,274,53364,2802,6772,66920,7558,1554,36,9148,57772
72057594037939966,1194,2448,346,50016,3094,3938,61036,7508,1424,36,8968,52068
72057594037940172,1186,2578,128,44052,3182,4470,55596,7552,1490,38,9080,46516
72057594037940189,1178,2888,272,48320,2624,7440,62722,7728,1526,36,9290,53432
72057594037927943,1256,2458,242,42982,3878,17322,68138,7886,1606,46,9538,58600
72057594037928033,1288,2562,62,43420,2798,7564,57694,7746,1540,44,9330,48364
72057594037928190,1426,2662,248,46280,4046,7494,62156,7652,3192,38,10882,51274
72057594037928199,1274,2538,336,55980,3922,7792,71842,7840,3360,38,11238,60604
72057594037928212,1268,2708,114,55546,3028,7048,69712,7558,1530,36,9124,60588
72057594037928463,1258,2642,336,60748,3286,7672,75942,7394,1522,36,8952,66990
72057594037928739,568,2634,274,48406,4016,7350,63248,7624,1552,40,9216,54032
72057594037928755,1250,2786,276,63266,3188,8270,79036,7872,1972,38,9882,69154
72057594037928822,1268,2638,68,44608,3978,8504,61064,7744,1390,40,9174,51890
72057594037929361,1268,2574,298,60198,3856,8100,76294,7840,1392,36,9268,67026
