op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594037928033,1268,2530,288,12062,3944,4648,24740,5940,3150,42,9132,15608
72057594037928233,1278,2578,160,11922,3968,4414,24320,7856,3082,42,10980,13340
72057594037928338,1276,2598,382,11186,3954,4784,24180,5606,3118,38,8762,15418
72057594037928342,1274,2662,296,12278,4166,4432,25108,7942,3122,38,11102,14006
72057594037928375,1268,2528,310,12508,4028,4990,25632,9174,1526,44,10744,14888
72057594037928464,1268,2730,636,13306,4186,4320,26446,5434,1416,40,6890,19556
72057594037928796,1264,2744,266,10734,4088,4366,23462,7880,1404,11878,21162,2300
72057594037928840,1258,2576,298,12316,3974,5156,25578,7546,1392,36,8974,16604
72057594037928927,1260,2732,122,12312,4096,4290,24812,7862,1518,40,9420,15392
72057594037928949,1254,2726,284,10988,4264,4416,23932,10698,1428,38,12164,11768
72057594037929337,1250,2774,724,11652,4272,4478,25150,7690,1468,40,9198,15952
72057594037929422,1262,2594,298,12578,3860,4408,25000,7544,3152,38,10734,14266
72057594037929439,1268,2672,252,10776,3922,4506,23396,7598,1392,38,9028,14368
72057594037929507,1390,2578,278,12080,3996,5240,25562,7656,1458,38,9152,16410
72057594037929669,1250,2742,176,11768,4268,4358,24562,7500,1410,12050,20960,3602
72057594037929920,1272,2548,192,13596,3824,4430,25862,7764,1364,38,9166,16696
72057594037929936,1246,2658,246,11854,4044,4426,24474,4520,1360,36,5916,18558
72057594037929980,1264,2524,282,11862,3968,4506,24406,7696,1392,38,9126,15280
72057594037930032,1258,2502,252,13268,3712,4468,25460,7574,1430,36,9040,16420
72057594037930479,1262,2690,238,10204,4118,5372,23884,7680,3132,36,10848,13036
72057594037930563,1258,2666,196,12540,4624,4740,26024,7626,1416,36,9078,16946
72057594037930578,1264,2742,358,11282,4004,4410,24060,7614,1418,34,9066,14994
72057594037930674,1264,2544,250,15618,3992,5026,28694,7960,1590,40,9590,19104
72057594037930859,1256,2706,118,12080,4180,4364,24704,7536,1406,36,8978,15726
72057594037930942,1272,2676,250,11970,4704,4386,25258,5516,1344,34,6894,18364
72057594037930952,1252,2606,250,10556,4118,4388,23170,2804,1568,36,4408,18762
72057594037931284,1260,2606,160,23638,3946,4380,35990,7556,1558,36,9150,26840
72057594037931344,1260,2616,272,16956,4096,4400,29600,7570,1404,36,9010,20590
72057594037931362,1268,2760,118,20202,4144,4426,32918,7582,1470,40,9092,23826
72057594037931403,1256,3186,278,11424,3982,4522,24648,7562,1422,40,9024,15624
72057594037931535,1254,2590,294,11460,3930,4458,23986,8190,2846,38,11074,12912
72057594037931579,1250,2606,170,11330,3804,4442,23602,7620,1516,40,9176,14426
72057594037931639,1258,2590,278,13082,3920,4426,25554,7668,1510,38,9216,16338
72057594037931782,1248,2610,290,11258,3964,4434,23804,17120,1540,36,18696,5108
72057594037931816,1260,2520,116,12286,3750,5952,25884,10516,1382,40,11938,13946
72057594037931926,1248,2706,140,12304,3918,4954,25270,7534,1924,40,9498,15772
72057594037932025,1252,3070,278,10944,4524,4412,24480,7446,1518,36,9000,15480
72057594037932081,1256,3050,298,18140,4162,4386,31292,7546,1388,36,8970,22322
72057594037932157,1274,2724,120,11476,4054,4720,24368,9242,1542,36,10820,13548
72057594037932269,1274,2780,196,11484,4026,4408,24168,7722,2156,36,9914,14254
72057594037932324,9036,2576,116,12208,4018,4352,32306,9080,1490,38,10608,21698
72057594037932368,1264,2546,332,10732,4080,5002,23956,7544,1492,36,9072,14884
72057594037932429,1260,2616,128,12622,3952,4382,24960,10938,3086,34,14058,10902
72057594037932434,1256,2696,136,12422,4122,4442,25074,7706,1414,36,9156,15918
72057594037932453,1248,2772,302,16498,3980,4414,29214,7820,1516,42,9378,19836
72057594037932692,1244,2612,272,10646,4082,4444,23300,5566,3086,38,8690,14610
