| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 150975 | 0.844 | 4.271 | 31.217 | 6146.445 | 3.801 |
| W2 | 150964 | 0.151 | 0.419 | 1.742 | 289.311 | 0.256 |
| W3 | 150964 | 0.027 | 0.155 | 1.104 | 64.772 | 0.170 |
| W7 | 150964 | 0.036 | 0.044 | 1.014 | 62.945 | 0.102 |
| W8 | 150964 | 0.030 | 0.032 | 1.669 | 193.742 | 0.153 |
| W9 | 150964 | 0.022 | 0.027 | 0.049 | 239.463 | 0.053 |
| W10 | 150964 | 3.511 | 12.761 | 19.114 | 1660.735 | 6.197 |
| W12 | 150915 | 0.338 | 2.323 | 8.594 | 15044.887 | 3.468 |
| R1 | 100074 | 7.293 | 11.759 | 18.048 | 187.186 | 5.574 |
| R2hit | 65075 | 0.080 | 0.214 | 0.439 | 129.930 | 0.145 |
| R2miss | 15708 | 2.796 | 5.151 | 8.652 | 128.364 | 3.219 |
| R3 | 186 | 9.670 | 5007.263 | 5031.465 | 5052.715 | 1944.824 |
| R4 | 114 | 0.320 | 0.433 | 5.443 | 5.675 | 0.416 |
| R6 | 99901 | 0.720 | 1.691 | 5.856 | 457.869 | 1.026 |
| R0_tls_h | 19291 | 0.025 | 0.033 | 0.635 | 26.115 | 0.069 |
