insert,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
insert,INS_pre_flush,100000,108,102,152,233,248,56,4838
insert,INS_pre_scan,100000,1592,1445,2840,3718,4430,601,504237
insert,INS_alloc,100000,701,683,709,860,2937,31,245436
insert,INS_write_pair,100000,798,792,799,824,921,665,247458
insert,INS_lock,100000,4517,4514,4836,5445,7895,3700,247597
insert,INS_verify,100000,845,849,910,1046,3707,676,243085
insert,INS_publish,100000,22,17,17,19,29,15,246924
insert,INS_unlock,100000,21,17,18,20,61,14,213555
insert,INS_cache,100000,2363,2260,2465,5545,10957,672,277311
insert,INS_TOTAL,100000,10985,10809,12233,14809,29379,8232,2040989
insert,SRC_cache_lookup,100000,26,26,27,28,80,21,4881
insert,SRC_slow_path,100000,2330,2215,3500,4290,5149,1364,52742
insert,SRC_cache_update,100000,27,27,27,28,43,21,18099
insert,SRC_TOTAL,100000,4335,4452,5674,6579,8724,2758,303544
search,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
search,SRC_cache_lookup,100000,26,26,27,28,76,20,455
search,SRC_slow_path,100000,2328,2213,3500,4281,4986,1360,60622
search,SRC_cache_update,100000,26,27,27,29,42,21,3341
search,SRC_TOTAL,100000,4322,4455,5662,6530,7707,2743,63002
update,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
update,UPD_flush_scan,100000,2501,2391,3730,4624,5373,1367,38848
update,UPD_alloc_write,100000,65,33,35,1469,1982,31,267822
update,UPD_lock,100000,4987,4948,5464,5864,8190,3970,258173
update,UPD_verify,100000,1670,1653,1781,1940,4071,1457,256465
update,UPD_publish,100000,16,15,16,16,28,14,67837
update,UPD_unlock,100000,22,16,17,19,650,15,268984
update,UPD_free,100000,2982,2963,3184,3756,5586,1283,131880
update,UPD_cache,100000,32,25,26,79,266,23,278133
update,UPD_TOTAL,100000,12294,12170,13574,14825,20542,9675,1397542
delete,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
delete,DEL_flush_scan,100000,1599,1590,1715,1856,1966,1366,54743
delete,DEL_lock,100000,4440,4427,4758,4919,7000,3955,786906
delete,DEL_verify,100000,1669,1657,1781,1935,2051,1455,60635
delete,DEL_clear,100000,16,16,17,18,21,15,15741
delete,DEL_unlock,100000,17,16,16,17,31,15,31980
delete,DEL_free,100000,2988,2965,3184,3720,4549,1301,474461
delete,DEL_cache,100000,56,42,110,142,224,38,29907
delete,DEL_TOTAL,100000,10801,10769,11365,11807,15639,9572,918006
