| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 105050 | 0.776 | 3.716 | 7.914 | 1077.944 | 1.529 |
| W2 | 105042 | 0.152 | 0.448 | 1.918 | 78.377 | 0.274 |
| W3 | 105042 | 0.025 | 0.028 | 5.050 | 111.704 | 0.157 |
| W7 | 105042 | 0.036 | 0.039 | 0.058 | 89.801 | 0.100 |
| W8 | 105042 | 0.030 | 0.030 | 5.731 | 224.202 | 0.177 |
| W9 | 105042 | 0.022 | 0.024 | 0.030 | 50.107 | 0.038 |
| W10 | 105042 | 3.392 | 11.055 | 18.186 | 666.039 | 5.200 |
| W12 | 105038 | 0.309 | 2.993 | 8.203 | 58559.063 | 5.119 |
| R1 | 190062 | 7.415 | 11.617 | 18.352 | 142.989 | 5.509 |
| R2hit | 113477 | 0.079 | 0.196 | 0.417 | 125.655 | 0.147 |
| R2miss | 25846 | 2.916 | 3.624 | 8.611 | 98.111 | 3.016 |
| R3 | 238 | 10.335 | 5005.803 | 5011.301 | 5036.061 | 1836.373 |
| R4 | 151 | 0.460 | 0.581 | 0.732 | 0.888 | 0.461 |
| R6 | 185751 | 0.496 | 0.872 | 1.963 | 110.412 | 0.646 |
| R0_tls_h | 50735 | 0.024 | 0.031 | 0.051 | 85.943 | 0.064 |
