| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 105050 | 0.777 | 3.665 | 7.926 | 237.925 | 1.526 |
| W2 | 105042 | 0.153 | 0.490 | 1.959 | 499.961 | 0.288 |
| W3 | 105042 | 0.025 | 0.028 | 4.993 | 94.197 | 0.152 |
| W4 | 6 | 0.802 | 0.940 | 0.940 | 0.940 | 0.778 |
| W6 | 6 | 1.243 | 1.358 | 1.358 | 1.358 | 0.955 |
| W7 | 105042 | 0.036 | 0.039 | 0.058 | 546.033 | 0.101 |
| W8 | 105042 | 0.030 | 0.030 | 5.777 | 793.210 | 0.189 |
| W9 | 105042 | 0.021 | 0.024 | 0.030 | 57.700 | 0.031 |
| W10 | 105042 | 3.395 | 10.992 | 17.493 | 865.342 | 5.181 |
| W12 | 105038 | 0.309 | 3.167 | 8.328 | 61456.426 | 1.660 |
| R1 | 190062 | 7.279 | 10.815 | 17.430 | 272.627 | 5.233 |
| R2hit | 113490 | 0.078 | 0.207 | 0.418 | 88.500 | 0.146 |
| R2miss | 27957 | 2.842 | 3.499 | 8.116 | 71.773 | 2.827 |
| R3 | 426 | 9.469 | 10.257 | 14.303 | 43.070 | 9.651 |
| R4 | 426 | 0.352 | 0.567 | 0.854 | 7.858 | 0.437 |
| R6 | 183451 | 0.471 | 0.830 | 1.905 | 124.107 | 0.645 |
| I1 | 6 | 1.435 | 1.478 | 1.478 | 1.478 | 1.431 |
| I2 | 6 | 3.740 | 4.162 | 4.162 | 4.162 | 3.544 |
| I3 | 11 | 0.892 | 1.703 | 1.771 | 1.771 | 1.122 |
| I4 | 6 | 0.592 | 0.874 | 0.874 | 0.874 | 0.581 |
| I5 | 6 | 0.034 | 0.050 | 0.050 | 0.050 | 0.038 |
| I7 | 6 | 0.044 | 0.057 | 0.057 | 0.057 | 0.041 |
| I8 | 6 | 0.049 | 0.116 | 0.116 | 0.116 | 0.055 |
| R0_tls_h | 48611 | 0.024 | 0.027 | 0.050 | 56.212 | 0.064 |
