| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 9880 | 0.755 | 1.182 | 7.744 | 40.896 | 1.140 |
| W2 | 9880 | 0.152 | 0.401 | 1.714 | 6.239 | 0.216 |
| W3 | 9880 | 0.025 | 0.027 | 0.036 | 99.700 | 0.173 |
| W7 | 9880 | 0.544 | 0.568 | 0.644 | 42202.794 | 4.863 |
| W8 | 1685 | 0.029 | 0.030 | 5.979 | 43.916 | 0.186 |
| W9 | 1685 | 0.022 | 0.022 | 0.026 | 16.648 | 0.042 |
| W10 | 1685 | 3.406 | 10.794 | 25.385 | 44.007 | 4.988 |
| W12 | 1685 | 0.562 | 3.497 | 14.204 | 83.687 | 1.497 |
| R1 | 9984 | 10.864 | 15.703 | 26.141 | 166.514 | 9.649 |
| R2hit | 348 | 0.225 | 0.391 | 0.585 | 0.669 | 0.243 |
| R2miss | 9503 | 1.416 | 1.796 | 6.698 | 76.295 | 1.618 |
| R3 | 77 | 9.782 | 12.156 | 19.543 | 19.543 | 10.413 |
| R4 | 11 | 1.167 | 1.736 | 1.828 | 1.828 | 1.267 |
| R6 | 621 | 0.664 | 0.876 | 1.068 | 1.107 | 0.658 |
| P5R_PL | 9 | 12553.241 | 14051.279 | 14051.279 | 14051.279 | 12560.429 |
| R0_tls_h | 75 | 0.058 | 0.091 | 0.160 | 0.160 | 0.058 |
