rep	wall_s	thpt_mops	w_avg_us	r_avg_us
1	0.003783	13.217023	16.899	9.703
2	0.003524	14.188422	16.021	9.283
3	0.522153	0.095757	16.647	8.623
4	20.801530	0.002403	15.215	8.707
5	0.003673	13.612850	16.834	9.839
6	0.003649	13.698630	17.119	9.830
7	0.522145	0.095758	15.241	9.101
8	20.801524	0.002403	16.763	9.339
9	0.003647	13.709898	17.978	10.364
10	0.003568	14.013452	16.914	9.924
11	0.003569	14.005602	17.548	10.027
12	0.003606	13.861935	17.003	9.592
13	0.003608	13.854253	17.471	10.256
14	0.003476	14.384349	16.668	9.700
15	0.003694	13.531799	18.356	10.226
16	0.003655	13.679890	16.684	10.142
17	0.003427	14.585764	16.582	10.158
18	0.004060	12.315270	18.077	11.218
19	0.522016	0.095782	19.157	11.566
20	0.003893	12.843565	17.043	10.129
