[A:thread] Worker pinned host=1 client=1 -> cpu=1 (pid=64287)
[A:thread] Worker pinned host=1 client=2 -> cpu=2 (pid=64288)
[A:thread] Worker pinned host=1 client=3 -> cpu=3 (pid=64289)
[A:thread] Worker pinned host=1 client=4 -> cpu=4 (pid=64290)
[A:thread] Worker pinned host=1 client=5 -> cpu=5 (pid=64291)
[A:thread] Worker pinned host=1 client=6 -> cpu=6 (pid=64292)
[A:thread] Worker pinned host=1 client=7 -> cpu=7 (pid=64293)
[A:thread] Worker pinned host=1 client=8 -> cpu=8 (pid=64294)
[A:thread] Worker pinned host=1 client=9 -> cpu=9 (pid=64295)
[A:thread] Worker pinned host=1 client=10 -> cpu=10 (pid=64296)
[A:thread] Worker pinned host=1 client=11 -> cpu=11 (pid=64297)
[A:thread] Worker pinned host=1 client=12 -> cpu=12 (pid=64298)
[A:thread] Worker pinned host=1 client=13 -> cpu=13 (pid=64299)
[A:thread] Worker pinned host=1 client=14 -> cpu=14 (pid=64300)
[A:thread] Worker pinned host=1 client=15 -> cpu=15 (pid=64301)
[A:thread] Worker pinned host=1 client=16 -> cpu=16 (pid=64302)
[A:thread] Worker pinned host=1 client=17 -> cpu=17 (pid=64303)
[A:thread] Worker pinned host=1 client=18 -> cpu=18 (pid=64304)
[A:thread] Worker pinned host=1 client=19 -> cpu=19 (pid=64305)
[A:thread] Worker pinned host=1 client=20 -> cpu=20 (pid=64306)
[A:thread] Worker pinned host=1 client=21 -> cpu=21 (pid=64307)
[A:thread] Worker pinned host=1 client=23 -> cpu=23 (pid=64309)
[A:thread] Worker pinned host=1 client=24 -> cpu=24 (pid=64310)
[A:thread] Worker pinned host=1 client=22 -> cpu=22 (pid=64308)
[A:thread] Worker pinned host=1 client=25 -> cpu=25 (pid=64311)
[A:thread] Worker pinned host=1 client=26 -> cpu=26 (pid=64312)
[A:thread] Worker pinned host=1 client=28 -> cpu=28 (pid=64314)
[A:thread] Worker pinned host=1 client=27 -> cpu=27 (pid=64313)
[A:thread] Worker pinned host=1 client=29 -> cpu=29 (pid=64315)
[A:thread] Worker pinned host=1 client=30 -> cpu=30 (pid=64316)
[A:thread] Worker pinned host=1 client=31 -> cpu=31 (pid=64317)
[A:thread] Worker pinned host=1 client=32 -> cpu=32 (pid=64318)
[A:thread] Worker pinned host=1 client=33 -> cpu=33 (pid=64319)
[A:thread] Worker pinned host=1 client=34 -> cpu=34 (pid=64320)
[A:thread] Worker pinned host=1 client=35 -> cpu=35 (pid=64321)
[A:thread] Worker pinned host=1 client=36 -> cpu=36 (pid=64322)
[A:thread] Worker pinned host=1 client=37 -> cpu=37 (pid=64323)
[A:thread] Worker pinned host=1 client=38 -> cpu=38 (pid=64324)
[A:thread] Worker pinned host=1 client=39 -> cpu=39 (pid=64325)
[A:thread] Worker pinned host=1 client=40 -> cpu=40 (pid=64326)
[A:thread] Worker pinned host=1 client=41 -> cpu=41 (pid=64327)
[A:thread] Worker pinned host=1 client=42 -> cpu=42 (pid=64328)
[A:thread] Worker pinned host=1 client=43 -> cpu=43 (pid=64329)
[A:thread] Worker pinned host=1 client=44 -> cpu=44 (pid=64330)
[A:thread] Worker pinned host=1 client=45 -> cpu=45 (pid=64331)
[A:thread] Worker pinned host=1 client=46 -> cpu=46 (pid=64332)
[A:thread] Worker pinned host=1 client=47 -> cpu=47 (pid=64333)
[A:thread] Worker pinned host=1 client=48 -> cpu=48 (pid=64334)
[A:thread] Worker pinned host=1 client=49 -> cpu=49 (pid=64335)
[A:thread] Worker pinned host=1 client=50 -> cpu=50 (pid=64336)
[A:thread] Worker pinned host=1 client=51 -> cpu=51 (pid=64337)
[A:thread] Worker pinned host=1 client=52 -> cpu=52 (pid=64338)
[A:thread] Worker pinned host=1 client=53 -> cpu=53 (pid=64339)
[A:thread] Worker pinned host=1 client=54 -> cpu=54 (pid=64340)
[A:thread] Worker pinned host=1 client=55 -> cpu=55 (pid=64341)
[A:thread] Worker pinned host=1 client=56 -> cpu=56 (pid=64342)
[A:thread] Worker pinned host=1 client=57 -> cpu=57 (pid=64343)
[A:thread] Worker pinned host=1 client=58 -> cpu=58 (pid=64344)
[A:thread] Worker pinned host=1 client=59 -> cpu=59 (pid=64345)
[A:thread] Worker pinned host=1 client=60 -> cpu=60 (pid=64346)
[A:thread] Worker pinned host=1 client=61 -> cpu=61 (pid=64347)
[A:thread] Worker pinned host=1 client=62 -> cpu=62 (pid=64348)
[A:thread] Worker pinned host=1 client=0 -> cpu=0 (pid=64286)
[A:thread] WriteReceiver pid=64286 tid=139633290917568 pinned cpu=65 (host_id=1)
[A:thread] Worker pinned host=1 client=63 -> cpu=63 (pid=64349)
[A:thread] ReadReceiver pid=64286 tid=139633282524864 pinned cpu=67 (host_id=1)
[A:thread] InvalReceiver pid=64286 tid=139633274132160 pinned cpu=69 (host_id=1)
[A:thread] WriteSender pid=64286 tid=139633265739456 pinned cpu=64 (host_id=1)
[A:sender] kind=0 policy=P0 K=16 T_us=100 host_id=1
[A:thread] ReadSender pid=64286 tid=139633257346752 pinned cpu=66 (host_id=1)
[A:sender] kind=1 policy=P0 K=16 T_us=100 host_id=1
[A:tls] worker host=1 client=26 entries=1024 (~1088 KiB)
[A:thread] InvalSender pid=64286 tid=139633113429696 pinned cpu=68 (host_id=1)
[A:sender] kind=2 policy=P0 K=16 T_us=100 host_id=1
[A:tls] worker host=1 client=30 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=6 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=17 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=9 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=13 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=12 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=14 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=7 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=20 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=8 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=23 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=24 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=37 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=4 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=34 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=19 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=36 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=41 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=38 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=40 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=31 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=11 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=39 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=25 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=35 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=0 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=1 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=28 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=5 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=18 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=22 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=16 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=10 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=29 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=42 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=3 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=32 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=15 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=21 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=33 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=46 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=2 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=43 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=44 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=48 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=45 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=47 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=27 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=49 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=51 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=50 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=52 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=55 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=61 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=59 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=53 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=62 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=54 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=63 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=56 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=58 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=57 entries=1024 (~1088 KiB)
[A:tls] worker host=1 client=60 entries=1024 (~1088 KiB)
